population,ptype,n,method,D_mu,D_me,D_sd,D_mn,D_mx,I_mu,I_me,I_sd,I_mn,I_mx,L_mu,L_me,L_sd,L_mn,L_mx
grid,EQ,4,,-0.04,-0.09,0.26,-0.75,0.64,-0.25,-0.25,0.11,-0.58,0.09,0.38,0.37,0.10,0.07,0.74
grid,EQ,4,,-0.04,-0.09,0.29,-0.84,0.65,-0.23,-0.23,0.11,-0.65,0.13,0.37,0.37,0.10,0.10,0.73
grid,EQ,4,,-0.31,-0.35,0.33,-0.98,0.58,-0.08,-0.09,0.13,-0.54,0.39,0.49,0.48,0.15,0.14,1.10
grid,EQ,4,,0.05,0.10,0.22,-0.65,0.68,-0.37,-0.37,0.12,-0.77,-0.04,0.35,0.35,0.10,0.00,0.68
grid,EQ,8,,-0.11,-0.19,0.33,-0.89,0.63,-0.06,-0.05,0.13,-0.48,0.43,0.34,0.33,0.09,0.11,0.73
grid,EQ,8,,0.17,0.20,0.20,-0.52,0.63,-0.31,-0.31,0.09,-0.58,0.00,0.23,0.22,0.05,0.09,0.40
grid,EQ,8,,0.16,0.21,0.22,-0.58,0.76,-0.29,-0.29,0.10,-0.56,0.07,0.23,0.22,0.05,0.09,0.41
grid,EQ,8,,-0.08,-0.17,0.33,-0.88,0.61,-0.05,-0.06,0.13,-0.49,0.37,0.34,0.33,0.09,0.12,0.74
grid,EQ,8,,0.21,0.22,0.16,-0.41,0.68,-0.47,-0.47,0.08,-0.75,-0.18,0.21,0.21,0.05,0.08,0.38
grid,EQ,16,,0.03,0.13,0.25,-0.66,0.55,-0.03,-0.03,0.14,-0.40,0.40,0.24,0.23,0.05,0.11,0.46
grid,EQ,16,,0.16,0.18,0.12,-0.34,0.45,-0.40,-0.40,0.08,-0.62,-0.14,0.15,0.15,0.02,0.07,0.23
grid,EQ,16,,0.17,0.18,0.12,-0.35,0.48,-0.37,-0.37,0.09,-0.63,0.07,0.15,0.15,0.02,0.07,0.24
grid,EQ,16,,0.01,0.12,0.26,-0.75,0.52,-0.02,-0.03,0.13,-0.47,0.44,0.24,0.23,0.05,0.11,0.45
grid,EQ,16,,0.14,0.15,0.08,-0.20,0.36,-0.60,-0.60,0.06,-0.78,-0.35,0.14,0.13,0.02,0.07,0.22
grid,UQ,8,,-0.28,-0.31,0.30,-0.92,0.55,0.01,0.00,0.15,-0.41,0.60,0.65,0.43,1.14,0.15,15.76
grid,UQ,8,,-0.09,-0.14,0.24,-0.70,0.50,-0.22,-0.22,0.10,-0.47,0.19,0.54,0.35,0.93,0.13,11.52
grid,UQ,8,,-0.10,-0.15,0.25,-0.72,0.58,-0.21,-0.21,0.11,-0.47,0.19,0.53,0.34,0.96,0.13,15.65
grid,UQ,8,,-0.11,-0.20,0.33,-0.88,0.65,-0.04,-0.04,0.12,-0.36,0.43,30.81,4.38,85.92,0.13,317.28
grid,UQ,8,,-0.06,-0.10,0.21,-0.69,0.53,-0.34,-0.34,0.08,-0.53,0.04,0.53,0.34,0.96,0.12,15.58
grid,UQ,16,,-0.25,-0.27,0.25,-0.92,0.51,0.09,0.08,0.15,-0.38,0.51,0.55,0.33,3.59,0.12,158.35
grid,UQ,16,,-0.12,-0.15,0.18,-0.68,0.34,-0.22,-0.23,0.09,-0.44,0.18,0.44,0.27,0.77,0.10,7.78
grid,UQ,16,,-0.13,-0.15,0.19,-0.61,0.42,-0.21,-0.22,0.10,-0.43,0.22,0.45,0.27,0.76,0.08,7.98
grid,UQ,16,,-0.04,-0.12,0.28,-0.79,0.51,-0.02,-0.03,0.13,-0.37,0.41,28.14,5.04,55.88,0.19,158.80
grid,UQ,16,,-0.10,-0.13,0.16,-0.56,0.40,-0.36,-0.37,0.06,-0.55,-0.10,0.49,0.26,3.59,0.10,158.25
grid,,4,KMS,0.00,0.00,0.00,0.00,0.00,-0.45,-0.46,0.02,-0.77,-0.11,0.41,0.44,0.02,0.00,0.62
grid,,4,KMS,-0.17,-0.11,0.02,-0.40,0.44,-0.24,-0.28,0.02,-0.47,0.18,0.83,0.56,18.68,0.24,633.54
grid,,8,KMS,0.07,0.07,0.00,-0.15,0.19,-0.40,-0.40,0.01,-0.57,-0.18,0.25,0.27,0.01,0.09,0.37
grid,,8,KMS,-0.18,-0.17,0.02,-0.47,0.32,-0.29,-0.30,0.01,-0.57,-0.07,0.64,0.42,9.20,0.20,316.75
grid,,16,KMS,0.08,0.09,0.00,-0.15,0.18,-0.50,-0.50,0.01,-0.73,-0.28,0.16,0.16,0.00,0.09,0.22
grid,,16,KMS,-0.14,-0.10,0.04,-0.39,0.35,-0.30,-0.30,0.01,-0.46,-0.10,0.48,0.29,4.28,0.12,158.32
meuse,EQ,5,,-0.12,-0.14,0.34,-0.89,0.67,-0.06,-0.06,0.11,-0.44,0.32,0.50,0.47,0.16,0.16,1.17
meuse,EQ,5,,0.09,0.12,0.18,-0.52,0.65,-0.24,-0.24,0.09,-0.53,0.08,0.37,0.35,0.12,0.15,1.02
meuse,EQ,5,,0.09,0.12,0.19,-0.51,0.69,-0.22,-0.22,0.09,-0.59,0.08,0.37,0.35,0.12,0.13,0.90
meuse,EQ,5,,-0.13,-0.16,0.35,-0.89,0.73,-0.05,-0.05,0.11,-0.47,0.32,0.51,0.48,0.16,0.16,1.15
meuse,EQ,5,,0.10,0.12,0.16,-0.42,0.59,-0.35,-0.34,0.11,-0.79,-0.07,0.35,0.33,0.11,0.15,0.92
meuse,EQ,10,,-0.07,-0.09,0.25,-0.88,0.51,-0.04,-0.04,0.10,-0.39,0.48,0.35,0.33,0.09,0.14,0.70
meuse,EQ,10,,0.04,0.05,0.11,-0.31,0.47,-0.29,-0.29,0.08,-0.52,-0.01,0.24,0.23,0.07,0.10,0.52
meuse,EQ,10,,0.05,0.06,0.12,-0.32,0.52,-0.27,-0.27,0.08,-0.52,-0.02,0.24,0.23,0.07,0.10,0.52
meuse,EQ,10,,-0.06,-0.08,0.26,-0.81,0.64,-0.04,-0.04,0.11,-0.47,0.33,0.35,0.33,0.09,0.14,0.78
meuse,EQ,10,,0.04,0.05,0.11,-0.27,0.40,-0.45,-0.45,0.08,-0.71,-0.22,0.23,0.22,0.07,0.08,0.48
meuse,EQ,15,,-0.04,-0.06,0.21,-0.72,0.52,-0.03,-0.03,0.11,-0.46,0.37,0.28,0.27,0.07,0.13,0.59
meuse,EQ,15,,0.04,0.05,0.09,-0.18,0.30,-0.34,-0.34,0.07,-0.57,-0.08,0.19,0.18,0.04,0.08,0.34
meuse,EQ,15,,0.04,0.04,0.09,-0.18,0.32,-0.32,-0.32,0.08,-0.58,-0.02,0.19,0.18,0.04,0.09,0.34
meuse,EQ,15,,-0.03,-0.05,0.21,-0.75,0.51,-0.03,-0.03,0.11,-0.44,0.38,0.28,0.28,0.06,0.13,0.56
meuse,EQ,15,,0.03,0.04,0.09,-0.22,0.32,-0.52,-0.52,0.06,-0.77,-0.28,0.18,0.18,0.04,0.08,0.34
meuse,UQ,5,,-0.10,-0.13,0.34,-0.90,0.78,-0.05,-0.05,0.10,-0.42,0.28,0.61,0.59,0.20,0.17,1.47
meuse,UQ,5,,0.10,0.12,0.18,-0.44,0.78,-0.19,-0.19,0.07,-0.42,0.04,0.51,0.48,0.18,0.13,1.39
meuse,UQ,5,,0.10,0.12,0.19,-0.59,0.78,-0.18,-0.19,0.08,-0.42,0.06,0.51,0.48,0.18,0.14,1.42
meuse,UQ,5,,-0.10,-0.13,0.34,-0.89,0.74,-0.05,-0.05,0.10,-0.44,0.32,0.71,0.69,0.22,0.21,1.57
meuse,UQ,5,,0.11,0.12,0.17,-0.53,0.67,-0.25,-0.25,0.07,-0.56,0.01,0.50,0.47,0.18,0.13,1.29
meuse,UQ,10,,-0.02,0.03,0.26,-0.78,0.64,-0.01,-0.01,0.11,-0.33,0.38,0.42,0.40,0.11,0.18,0.86
meuse,UQ,10,,0.08,0.09,0.12,-0.25,0.49,-0.22,-0.23,0.07,-0.42,0.01,0.33,0.31,0.09,0.15,0.76
meuse,UQ,10,,0.09,0.09,0.13,-0.27,0.54,-0.21,-0.22,0.07,-0.44,0.10,0.33,0.32,0.09,0.15,0.76
meuse,UQ,10,,-0.04,-0.07,0.26,-0.87,0.57,-0.03,-0.04,0.10,-0.31,0.40,0.48,0.47,0.12,0.21,1.01
meuse,UQ,10,,0.08,0.08,0.13,-0.34,0.50,-0.31,-0.32,0.06,-0.53,-0.05,0.32,0.30,0.09,0.15,0.68
meuse,UQ,15,,-0.01,0.06,0.22,-0.74,0.63,0.01,0.01,0.11,-0.32,0.41,0.33,0.32,0.08,0.13,0.70
meuse,UQ,15,,0.07,0.07,0.10,-0.20,0.41,-0.24,-0.25,0.07,-0.41,-0.01,0.25,0.24,0.07,0.12,0.52
meuse,UQ,15,,0.07,0.07,0.10,-0.22,0.43,-0.23,-0.24,0.07,-0.46,0.02,0.25,0.24,0.06,0.12,0.51
meuse,UQ,15,,-0.03,-0.05,0.22,-0.67,0.54,-0.03,-0.03,0.10,-0.34,0.37,0.39,0.38,0.08,0.20,0.74
meuse,UQ,15,,0.06,0.07,0.10,-0.35,0.42,-0.35,-0.36,0.05,-0.51,-0.13,0.24,0.23,0.06,0.11,0.50
meuse,,5,KMS,0.04,0.02,0.01,-0.12,0.33,-0.25,-0.28,0.01,-0.51,0.01,0.42,0.36,0.03,0.15,1.00
meuse,,5,KMS,0.04,0.05,0.01,-0.11,0.44,-0.23,-0.25,0.01,-0.38,0.04,0.53,0.50,0.05,0.19,1.57
meuse,,10,KMS,0.02,0.01,0.00,-0.07,0.17,-0.35,-0.34,0.01,-0.57,-0.22,0.24,0.22,0.01,0.10,0.46
meuse,,10,KMS,0.05,0.04,0.01,-0.08,0.32,-0.27,-0.27,0.00,-0.41,-0.05,0.32,0.30,0.02,0.16,0.81
meuse,,15,KMS,0.02,0.02,0.00,-0.07,0.13,-0.37,-0.37,0.01,-0.58,-0.09,0.18,0.16,0.00,0.06,0.34
meuse,,15,KMS,0.04,0.04,0.00,-0.06,0.23,-0.27,-0.29,0.01,-0.42,-0.11,0.22,0.21,0.01,0.11,0.57
random,EQ,4,,-0.27,-0.32,0.34,-0.96,0.70,-0.09,-0.09,0.13,-0.52,0.32,0.49,0.48,0.15,0.13,1.03
random,EQ,4,,-0.01,-0.07,0.27,-0.67,0.71,-0.25,-0.24,0.11,-0.66,0.12,0.38,0.38,0.11,0.14,0.81
random,EQ,4,,-0.03,-0.09,0.29,-0.79,0.74,-0.24,-0.23,0.11,-0.59,0.13,0.38,0.37,0.10,0.10,0.75
random,EQ,4,,-0.28,-0.33,0.34,-0.95,0.77,-0.08,-0.08,0.13,-0.57,0.36,0.49,0.48,0.15,0.06,1.05
random,EQ,4,,0.05,0.11,0.24,-0.63,0.74,-0.37,-0.37,0.12,-0.71,-0.05,0.35,0.34,0.10,0.10,0.75
random,EQ,8,,-0.15,-0.23,0.33,-0.93,0.67,-0.05,-0.05,0.13,-0.50,0.45,0.35,0.34,0.09,0.13,0.78
random,EQ,8,,0.09,0.15,0.22,-0.48,0.62,-0.32,-0.32,0.09,-0.60,0.00,0.23,0.23,0.05,0.09,0.46
random,EQ,8,,0.08,0.15,0.24,-0.64,0.60,-0.29,-0.30,0.10,-0.57,0.05,0.23,0.23,0.06,0.06,0.44
random,EQ,8,,-0.15,-0.22,0.32,-0.93,0.60,-0.06,-0.06,0.13,-0.45,0.37,0.35,0.34,0.09,0.12,0.72
random,EQ,8,,0.11,0.14,0.18,-0.48,0.51,-0.47,-0.47,0.08,-0.76,-0.15,0.21,0.21,0.05,0.08,0.41
random,EQ,16,,-0.07,-0.14,0.26,-0.83,0.53,-0.04,-0.04,0.14,-0.44,0.44,0.24,0.24,0.05,0.11,0.51
random,EQ,16,,0.04,0.08,0.13,-0.35,0.38,-0.41,-0.42,0.09,-0.68,-0.05,0.15,0.14,0.03,0.07,0.23
random,EQ,16,,0.04,0.09,0.14,-0.46,0.38,-0.38,-0.38,0.09,-0.65,-0.04,0.15,0.14,0.03,0.07,0.28
random,EQ,16,,-0.06,-0.14,0.26,-0.81,0.54,-0.03,-0.03,0.13,-0.46,0.43,0.24,0.24,0.05,0.11,0.50
random,EQ,16,,0.03,0.07,0.11,-0.28,0.36,-0.60,-0.60,0.06,-0.81,-0.34,0.14,0.13,0.03,0.07,0.23
random,UQ,8,,-0.25,-0.30,0.31,-0.91,0.57,-0.00,-0.01,0.14,-0.44,0.53,0.61,0.42,1.23,0.15,49.16
random,UQ,8,,-0.11,-0.16,0.25,-0.69,0.55,-0.23,-0.24,0.09,-0.51,0.10,0.50,0.33,0.55,0.13,5.37
random,UQ,8,,-0.10,-0.16,0.25,-0.67,0.59,-0.22,-0.23,0.10,-0.51,0.11,0.50,0.33,0.56,0.12,5.35
random,UQ,8,,-0.04,-0.12,0.33,-0.88,0.65,-0.05,-0.05,0.12,-0.40,0.43,5.65,1.48,12.97,0.13,49.84
random,UQ,8,,-0.08,-0.13,0.23,-0.65,0.54,-0.35,-0.36,0.08,-0.55,-0.01,0.53,0.32,0.63,0.09,5.33
random,UQ,16,,-0.24,-0.27,0.25,-0.85,0.46,0.06,0.06,0.15,-0.39,0.50,0.44,0.35,0.34,0.14,2.86
random,UQ,16,,-0.14,-0.16,0.18,-0.60,0.33,-0.27,-0.27,0.09,-0.50,0.02,0.39,0.27,0.83,0.09,24.57
random,UQ,16,,-0.15,-0.17,0.18,-0.67,0.37,-0.24,-0.25,0.09,-0.49,0.15,0.39,0.27,0.64,0.10,24.55
random,UQ,16,,-0.01,0.10,0.28,-0.75,0.61,-0.03,-0.03,0.13,-0.42,0.42,5.36,1.46,8.78,0.14,24.95
random,UQ,16,,-0.14,-0.16,0.16,-0.63,0.36,-0.42,-0.43,0.07,-0.63,-0.14,0.39,0.26,0.85,0.09,24.55
random,,4,KMS,-0.01,-0.05,0.02,-0.27,0.39,-0.37,-0.43,0.01,-0.55,-0.13,0.42,0.39,0.02,0.16,0.66
random,,4,KMS,-0.16,-0.12,0.02,-0.36,0.34,-0.26,-0.26,0.01,-0.46,-0.11,0.75,0.53,3.34,0.19,98.58
random,,8,KMS,0.04,0.06,0.01,-0.15,0.22,-0.43,-0.44,0.01,-0.64,-0.21,0.25,0.25,0.00,0.12,0.39
random,,8,KMS,-0.22,-0.18,0.03,-0.55,0.26,-0.32,-0.34,0.01,-0.53,-0.14,0.59,0.43,1.58,0.11,49.21
random,,16,KMS,0.00,0.03,0.00,-0.12,0.13,-0.52,-0.52,0.01,-0.65,-0.36,0.15,0.15,0.00,0.10,0.21
random,,16,KMS,-0.11,-0.12,0.03,-0.35,0.27,-0.30,-0.35,0.01,-0.44,-0.02,0.41,0.31,0.74,0.12,24.57
swiss,EQ,4,,-0.08,-0.18,0.37,-0.75,0.80,-0.08,-0.07,0.13,-0.52,0.34,0.53,0.53,0.17,0.11,1.33
swiss,EQ,4,,0.09,0.16,0.28,-0.57,0.78,-0.24,-0.24,0.10,-0.59,0.09,0.42,0.41,0.13,0.10,0.86
swiss,EQ,4,,0.10,0.17,0.31,-0.69,0.85,-0.23,-0.22,0.11,-0.71,0.10,0.42,0.41,0.13,0.09,0.88
swiss,EQ,4,,-0.07,-0.18,0.37,-0.75,0.84,-0.09,-0.09,0.13,-0.52,0.33,0.52,0.51,0.17,0.16,1.07
swiss,EQ,4,,0.11,0.16,0.27,-0.60,0.92,-0.37,-0.37,0.12,-0.75,0.02,0.40,0.39,0.13,0.12,0.85
swiss,EQ,8,,-0.04,-0.14,0.33,-0.75,0.78,-0.05,-0.06,0.13,-0.53,0.35,0.36,0.35,0.10,0.12,0.73
swiss,EQ,8,,0.08,0.13,0.22,-0.49,0.68,-0.32,-0.32,0.09,-0.64,-0.04,0.25,0.24,0.06,0.09,0.45
swiss,EQ,8,,0.07,0.13,0.24,-0.60,0.74,-0.29,-0.30,0.10,-0.59,0.04,0.25,0.24,0.06,0.09,0.52
swiss,EQ,8,,-0.04,-0.14,0.33,-0.76,0.80,-0.05,-0.06,0.13,-0.42,0.34,0.36,0.35,0.10,0.15,0.68
swiss,EQ,8,,0.08,0.12,0.21,-0.51,0.64,-0.47,-0.48,0.09,-0.83,-0.17,0.23,0.22,0.06,0.07,0.43
swiss,EQ,16,,-0.01,-0.07,0.26,-0.67,0.64,-0.03,-0.03,0.14,-0.45,0.41,0.25,0.25,0.05,0.12,0.46
swiss,EQ,16,,0.05,0.09,0.14,-0.39,0.39,-0.41,-0.41,0.08,-0.65,-0.13,0.15,0.15,0.03,0.07,0.24
swiss,EQ,16,,0.05,0.10,0.15,-0.39,0.44,-0.39,-0.39,0.09,-0.66,-0.03,0.16,0.16,0.03,0.09,0.25
swiss,EQ,16,,-0.01,-0.07,0.26,-0.66,0.59,-0.03,-0.03,0.13,-0.46,0.41,0.25,0.24,0.05,0.11,0.51
swiss,EQ,16,,0.05,0.09,0.15,-0.36,0.38,-0.61,-0.61,0.07,-0.84,-0.29,0.15,0.15,0.03,0.06,0.23
swiss,UQ,4,,0.05,0.12,0.36,-0.66,0.87,-0.04,-0.04,0.13,-0.41,0.65,1.23,0.68,1.54,0.21,11.87
swiss,UQ,4,,0.19,0.19,0.27,-0.38,0.87,-0.17,-0.18,0.08,-0.40,0.14,1.19,0.61,1.57,0.20,11.88
swiss,UQ,4,,0.19,0.19,0.29,-0.46,0.90,-0.17,-0.17,0.08,-0.40,0.16,1.22,0.61,1.63,0.21,11.83
swiss,UQ,4,,-0.05,-0.16,0.35,-0.68,0.87,-0.06,-0.07,0.10,-0.43,0.31,6.24,5.16,3.84,0.25,17.03
swiss,UQ,4,,0.22,0.22,0.25,-0.42,0.85,-0.21,-0.21,0.08,-0.41,0.17,1.15,0.60,1.45,0.21,11.83
swiss,UQ,8,,0.06,0.16,0.33,-0.68,0.84,-0.02,-0.03,0.13,-0.33,0.48,1.00,0.60,0.99,0.24,6.03
swiss,UQ,8,,0.14,0.20,0.24,-0.40,0.77,-0.15,-0.15,0.09,-0.36,0.16,0.89,0.50,0.92,0.25,5.93
swiss,UQ,8,,0.14,0.21,0.26,-0.45,0.77,-0.15,-0.16,0.09,-0.36,0.14,0.97,0.52,1.01,0.24,7.90
swiss,UQ,8,,-0.06,-0.15,0.33,-0.72,0.72,-0.03,-0.04,0.10,-0.35,0.51,4.72,4.85,1.93,0.44,10.50
swiss,UQ,8,,0.15,0.21,0.24,-0.45,0.74,-0.23,-0.24,0.07,-0.42,0.04,0.89,0.48,0.95,0.19,6.95
swiss,UQ,16,,0.01,0.08,0.26,-0.66,0.68,-0.07,-0.07,0.10,-0.37,0.31,0.78,0.59,0.57,0.24,3.92
swiss,UQ,16,,0.07,0.10,0.15,-0.35,0.50,-0.20,-0.20,0.08,-0.42,0.09,0.76,0.55,0.58,0.24,3.47
swiss,UQ,16,,0.06,0.09,0.16,-0.32,0.54,-0.18,-0.18,0.08,-0.44,0.15,0.75,0.54,0.58,0.25,3.48
swiss,UQ,16,,-0.14,-0.20,0.25,-0.71,0.53,-0.02,-0.02,0.11,-0.31,0.41,3.33,3.37,0.88,0.89,6.20
swiss,UQ,16,,0.06,0.09,0.16,-0.32,0.49,-0.23,-0.24,0.08,-0.47,0.09,0.73,0.53,0.58,0.23,3.16
swiss,,4,KMS,0.02,-0.04,0.03,-0.30,0.37,-0.34,-0.35,0.01,-0.55,-0.18,0.46,0.45,0.02,0.13,0.73
swiss,,4,KMS,0.14,0.09,0.10,-0.27,0.76,-0.17,-0.15,0.01,-0.29,0.06,1.16,1.51,2.37,0.36,14.13
swiss,,8,KMS,0.01,0.04,0.02,-0.26,0.21,-0.41,-0.41,0.01,-0.58,-0.21,0.27,0.24,0.00,0.13,0.39
swiss,,8,KMS,0.11,0.15,0.04,-0.21,0.43,-0.20,-0.16,0.01,-0.32,0.05,0.90,0.93,1.02,0.26,7.50
swiss,,16,KMS,0.00,0.05,0.01,-0.13,0.18,-0.49,-0.51,0.01,-0.64,-0.30,0.15,0.15,0.00,0.08,0.21
swiss,,16,KMS,0.04,0.04,0.02,-0.26,0.38,-0.17,-0.17,0.01,-0.40,-0.01,0.71,0.59,0.35,0.25,3.28
